S.No.,Combination
100101,1st Lord in 1th House
100102,1st Lord in 2th House
100103,1st Lord in 3th House
100104,1st Lord in 4th House
100105,1st Lord in 5th House
100106,1st Lord in 6th House
100107,1st Lord in 7th House
100108,1st Lord in 8th House
100109,1st Lord in 9th House
100110,1st Lord in 10th House
100111,1st Lord in 11th House
100112,1st Lord in 12th House
100201,2nd Lord in 1th House
100202,2nd Lord in 2th House
100203,2nd Lord in 3th House
100204,2nd Lord in 4th House
100205,2nd Lord in 5th House
100206,2nd Lord in 6th House
100207,2nd Lord in 7th House
100208,2nd Lord in 8th House
100209,2nd Lord in 9th House
100210,2nd Lord in 10th House
100211,2nd Lord in 11th House
100212,2nd Lord in 12th House
100301,3rd Lord in 1th House
100302,3rd Lord in 2th House
100303,3rd Lord in 3th House
100304,3rd Lord in 4th House
100305,3rd Lord in 5th House
100306,3rd Lord in 6th House
100307,3rd Lord in 7th House
100308,3rd Lord in 8th House
100309,3rd Lord in 9th House
100310,3rd Lord in 10th House
100311,3rd Lord in 11th House
100312,3rd Lord in 12th House
100401,4th Lord in 1th House
100402,4th Lord in 2th House
100403,4th Lord in 3th House
100404,4th Lord in 4th House
100405,4th Lord in 5th House
100406,4th Lord in 6th House
100407,4th Lord in 7th House
100408,4th Lord in 8th House
100409,4th Lord in 9th House
100410,4th Lord in 10th House
100411,4th Lord in 11th House
100412,4th Lord in 12th House
100501,5th Lord in 1th House
100502,5th Lord in 2th House
100503,5th Lord in 3th House
100504,5th Lord in 4th House
100505,5th Lord in 5th House
100506,5th Lord in 6th House
100507,5th Lord in 7th House
100508,5th Lord in 8th House
100509,5th Lord in 9th House
100510,5th Lord in 10th House
100511,5th Lord in 11th House
100512,5th Lord in 12th House
100601,6th Lord in 1th House
100602,6th Lord in 2th House
100603,6th Lord in 3th House
100604,6th Lord in 4th House
100605,6th Lord in 5th House
100606,6th Lord in 6th House
100607,6th Lord in 7th House
100608,6th Lord in 8th House
100609,6th Lord in 9th House
100610,6th Lord in 10th House
100611,6th Lord in 11th House
100612,6th Lord in 12th House
100701,7th Lord in 1th House
100702,7th Lord in 2th House
100703,7th Lord in 3th House
100704,7th Lord in 4th House
100705,7th Lord in 5th House
100706,7th Lord in 6th House
100707,7th Lord in 7th House
100708,7th Lord in 8th House
100709,7th Lord in 9th House
100710,7th Lord in 10th House
100711,7th Lord in 11th House
100712,7th Lord in 12th House
100801,8th Lord in 1th House
100802,8th Lord in 2th House
100803,8th Lord in 3th House
100804,8th Lord in 4th House
100805,8th Lord in 5th House
100806,8th Lord in 6th House
100807,8th Lord in 7th House
100808,8th Lord in 8th House
100809,8th Lord in 9th House
100810,8th Lord in 10th House
100811,8th Lord in 11th House
100812,8th Lord in 12th House
100901,9th Lord in 1th House
100902,9th Lord in 2th House
100903,9th Lord in 3th House
100904,9th Lord in 4th House
100905,9th Lord in 5th House
100906,9th Lord in 6th House
100907,9th Lord in 7th House
100908,9th Lord in 8th House
100909,9th Lord in 9th House
100910,9th Lord in 10th House
100911,9th Lord in 11th House
100912,9th Lord in 12th House
101001,10th Lord in 1th House
101002,10th Lord in 2th House
101003,10th Lord in 3th House
101004,10th Lord in 4th House
101005,10th Lord in 5th House
101006,10th Lord in 6th House
101007,10th Lord in 7th House
101008,10th Lord in 8th House
101009,10th Lord in 9th House
101010,10th Lord in 10th House
101011,10th Lord in 11th House
101012,10th Lord in 12th House
101101,11th Lord in 1th House
101102,11th Lord in 2th House
101103,11th Lord in 3th House
101104,11th Lord in 4th House
101105,11th Lord in 5th House
101106,11th Lord in 6th House
101107,11th Lord in 7th House
101108,11th Lord in 8th House
101109,11th Lord in 9th House
101110,11th Lord in 10th House
101111,11th Lord in 11th House
101112,11th Lord in 12th House
101201,12th Lord in 1th House
101202,12th Lord in 2th House
101203,12th Lord in 3th House
101204,12th Lord in 4th House
101205,12th Lord in 5th House
101206,12th Lord in 6th House
101207,12th Lord in 7th House
101208,12th Lord in 8th House
101209,12th Lord in 9th House
101210,12th Lord in 10th House
101211,12th Lord in 11th House
101212,12th Lord in 12th House
