100101,1st Lord in 1st House,"1 st Lord in in 1 House, 1st Lord in of 1 in 1 House of Individuality in Vedic astrology"
100102,1st Lord in 2nd House,"1 st Lord in in 2 House, 1st Lord in of 1 in 2 House of Wealth in Vedic astrology"
100103,1st Lord in 3rd House,"1 st Lord in in 3 House, 1st Lord in of 1 in 3 House of Siblings in Vedic astrology"
100104,1st Lord in 4th House,"1 st Lord in in 4 House, 1st Lord in of 1 in 4 House of Home in Vedic astrology"
100105,1st Lord in 5th House,"1 st Lord in in 5 House, 1st Lord in of 1 in 5 House of Creativity in Vedic astrology"
100106,1st Lord in 6th House,"1 st Lord in in 6 House, 1st Lord in of 1 in 6 House of Health in Vedic astrology"
100107,1st Lord in 7th House,"1 st Lord in in 7 House, 1st Lord in of 1 in 7 House of Partnership in Vedic astrology"
100108,1st Lord in 8th House,"1 st Lord in in 8 House, 1st Lord in of 1 in 8 House of Transformation in Vedic astrology"
100109,1st Lord in 9th House,"1 st Lord in in 9 House, 1st Lord in of 1 in 9 House of Philosophy in Vedic astrology"
100110,1st Lord in 10th House,"1 st Lord in in 10 House, 1st Lord in of 1 in 10 House of Career in Vedic astrology"
100111,1st Lord in 11th House,"1 st Lord in in 11 House, 1st Lord in of 1 in 11 House of Friendships in Vedic astrology"
100112,1st Lord in 12th House,"1 st Lord in in 12 House, 1st Lord in of 1 in 12 House of Subconscious in Vedic astrology"
100201,2nd Lord in 1st House,"2 nd Lord in in 1 House, 2nd Lord in of 2 in 1 House of Individuality in Vedic astrology"
100202,2nd Lord in 2nd House,"2 nd Lord in in 2 House, 2nd Lord in of 2 in 2 House of Wealth in Vedic astrology"
100203,2nd Lord in 3rd House,"2 nd Lord in in 3 House, 2nd Lord in of 2 in 3 House of Siblings in Vedic astrology"
100204,2nd Lord in 4th House,"2 nd Lord in in 4 House, 2nd Lord in of 2 in 4 House of Home in Vedic astrology"
100205,2nd Lord in 5th House,"2 nd Lord in in 5 House, 2nd Lord in of 2 in 5 House of Creativity in Vedic astrology"
100206,2nd Lord in 6th House,"2 nd Lord in in 6 House, 2nd Lord in of 2 in 6 House of Health in Vedic astrology"
100207,2nd Lord in 7th House,"2 nd Lord in in 7 House, 2nd Lord in of 2 in 7 House of Partnership in Vedic astrology"
100208,2nd Lord in 8th House,"2 nd Lord in in 8 House, 2nd Lord in of 2 in 8 House of Transformation in Vedic astrology"
100209,2nd Lord in 9th House,"2 nd Lord in in 9 House, 2nd Lord in of 2 in 9 House of Philosophy in Vedic astrology"
100210,2nd Lord in 10th House,"2 nd Lord in in 10 House, 2nd Lord in of 2 in 10 House of Career in Vedic astrology"
100211,2nd Lord in 11th House,"2 nd Lord in in 11 House, 2nd Lord in of 2 in 11 House of Friendships in Vedic astrology"
100212,2nd Lord in 12th House,"2 nd Lord in in 12 House, 2nd Lord in of 2 in 12 House of Subconscious in Vedic astrology"
100301,3rd Lord in 1th House,"3 rd Lord in in 1 House, 3rd Lord in of 3 in 1 House of Individuality in Vedic astrology"
100302,3rd Lord in 2th House,"3 rd Lord in in 2 House, 3rd Lord in of 3 in 2 House of Wealth in Vedic astrology"
100303,3rd Lord in 3th House,"3 rd Lord in in 3 House, 3rd Lord in of 3 in 3 House of Siblings in Vedic astrology"
100304,3rd Lord in 4th House,"3 rd Lord in in 4 House, 3rd Lord in of 3 in 4 House of Home in Vedic astrology"
100305,3rd Lord in 5th House,"3 rd Lord in in 5 House, 3rd Lord in of 3 in 5 House of Creativity in Vedic astrology"
100306,3rd Lord in 6th House,"3 rd Lord in in 6 House, 3rd Lord in of 3 in 6 House of Health in Vedic astrology"
100307,3rd Lord in 7th House,"3 rd Lord in in 7 House, 3rd Lord in of 3 in 7 House of Partnership in Vedic astrology"
100308,3rd Lord in 8th House,"3 rd Lord in in 8 House, 3rd Lord in of 3 in 8 House of Transformation in Vedic astrology"
100309,3rd Lord in 9th House,"3 rd Lord in in 9 House, 3rd Lord in of 3 in 9 House of Philosophy in Vedic astrology"
100310,3rd Lord in 10th House,"3 rd Lord in in 10 House, 3rd Lord in of 3 in 10 House of Career in Vedic astrology"
100311,3rd Lord in 11th House,"3 rd Lord in in 11 House, 3rd Lord in of 3 in 11 House of Friendships in Vedic astrology"
100312,3rd Lord in 12th House,"3 rd Lord in in 12 House, 3rd Lord in of 3 in 12 House of Subconscious in Vedic astrology"
100401,4th Lord in 1st House,"4 th Lord in in 1 House, 4th Lord in of 4 in 1 House of Individuality in Vedic astrology"
100402,4th Lord in 2nd House,"4 th Lord in in 2 House, 4th Lord in of 4 in 2 House of Wealth in Vedic astrology"
100403,4th Lord in 3rd House,"4 th Lord in in 3 House, 4th Lord in of 4 in 3 House of Siblings in Vedic astrology"
100404,4th Lord in 4th House,"4 th Lord in in 4 House, 4th Lord in of 4 in 4 House of Home in Vedic astrology"
100405,4th Lord in 5th House,"4 th Lord in in 5 House, 4th Lord in of 4 in 5 House of Creativity in Vedic astrology"
100406,4th Lord in 6th House,"4 th Lord in in 6 House, 4th Lord in of 4 in 6 House of Health in Vedic astrology"
100407,4th Lord in 7th House,"4 th Lord in in 7 House, 4th Lord in of 4 in 7 House of Partnership in Vedic astrology"
100408,4th Lord in 8th House,"4 th Lord in in 8 House, 4th Lord in of 4 in 8 House of Transformation in Vedic astrology"
